ABCA4 ABCB4 ABCC2 ACSL6 ACTL8 ADAMTS18 ADAMTS6 ADAMTS8 ADAMTS9-AS1 ADCYAP1R1 ADGRG2 ADH1B ADRA2A ADRB1 AGER AGRP AIRE ALDH8A1 ALX4 AMBP ANK1 ANKRD1 ANKRD13D ANKRD20A8P ANO4 AOC1 APOA1 APOA2 APOH ARF5 ARRDC5 ART4 ARX ASCL4 ASIP ASTN1 ASXL3 ATG5 ATP2B3 ATP5MF AXIN2 B3GNT6 BARHL2 BEND4 BEX1 BHMT2 BLK BMP4 BMPER BNC2 BPIFB2 BRINP2 BRINP3 C12orf77 C8B CA10 CA4 CACNA1E CACNA2D2 CACNG5 CACNG8 CALCA CALCB CALN1 CAPN6 CASP12 CCBE1 CCL19 CCN4 CCNB3 CCR7 CD300LG CD5L CDH12 CDH18 CDH2 CDH7 CHIAP2 CHRD CHRM1 CHRM2 CHRNA4 CHRNA6 CHST8 CIDEC CIDECP1 CLDN11 CLDN18 CLDN19 CLDN6 CLEC3B CLEC4M CLIC5 CLTA CNR2 CNTN6 COL14A1 CPB2 CR2 CRB2 CRNN CYP3A4 CYP4B1 DAB1 DCHS2 DCUN1D5 DEFA5 DERA DLK1 DMRT1 DNER DPYS DPYSL5 DRGX DUSP23 DYNLT1 EBF1 ECEL1P2 EDN3 EDNRB EEF1A2 ELOVL2 EMX2 ENPP1 ENPP3 ENPP6 EPHA3 EPHA8 ERMN ESRRB F11 F2 FABP4 FAM107A FAM153B FAM163A FAM210A FAM86C2P FBN1 FBXW12 FCER2 FCN3 FCRL1 FCRL3 FDCSP FER1L6-AS2 FGB FGF16 FGF4 FGF5 FHL1 FMO3 FREM3 FRMD1 FRMPD1 FRMPD4 FTHL17 FYN GABRA5 GALNT9 GBX1 GDF10 GFAP GFRA1 GGTLC1 GKN2 GMNC GPA33 GPD1 GPIHBP1 GPM6A GPR12 GRIA1 GRIN2B GSG1L GUK1 H19 HBA1 HBA2 HCG22 HCN1 HEPACAM2 HHIPL2 HMGCS2 HPSE2 HRH4 HSD17B13 HSD17B6 HSPC324 HTR3A HTR3C IGFBP1 IHH IL13RA2 IL17REL IL1RL1 IL23R ILDR2 INMT IRS4 ITGA4 ITLN1 ITLN2 JPH4 KCNA2 KCNJ3 KCNQ2 KCTD6 KEL KIAA0408 KIAA1841 KIF5C KIR3DL1 KLHL14 KLHL6-AS1 KLK15 KRBOX1 KRT20 KRT24 KRTAP17-1 LBP LCT LILRA4 LINC00051 LINC00261 LINC00494 LINC01010 LINC01018 LINC01088 LINC01215 LINC01287 LINC01503 LINC01606 LINC01989 LINC01996 LINC02055 LINC02418 LINC02432 LINC02582 LINC02724 LINGO1 LIX1 LOC100128317 LOC100507377 LOC101926892 LOC101929698 LOC105375304 LOC105376453 LOC442028 LRMP LRRC36 LRRN4 LYVE1 MAB21L1 MAEA MAEL MAGEB17 MAGEC2 MAMDC2 MANBAL MAP1LC3C MCEMP1 MIR200A MIR429 MLC1 MORC1 MRC1 MROH2A MS4A1 MS4A15 MT1G MT1M MUC6 MYBPC1 MYCN MYOC MYRIP MYZAP NCAM1 NDST4 NDUFS8 NEFH NEFM NFE4 NIBAN3 NKX6-3 NMUR1 NPFFR2 NPHS1 NPIPB13 NPTX2 NPY NRXN1 NTSR1 NUPR2 OCA2 OTX2 OVCH1 P2RX2 PAH PAK3 PASD1 PAX1 PAX2 PCDH18 PCDHGA7 PCDHGA9 PCP4 PDK4 PENK PEX19 PFDN2 PFKFB4 PGC PI16 PIWIL1 PKHD1L1 PLA2G2A PLPPR5 PNLDC1 PNMA5 PPBP PRAMENP PRB4 PRG4 PRKCB PRSS33 PRSS56 PTPN5 PTPRB PVALB PXDNL RAB39B RAB3A RASSF10 RBFOX3 RBP2 RELN RET RGS8 RHBDL3 RIMBP2 RNF150 RNF157 RNF2 ROBO4 RORB RS1 RSPO1 RTKN2 RUBCNL SACS SALL3 SCARA5 SCN3B SCN7A SCUBE1 SEC14L3 SEMA3E SEMA3G SERPINA11 SEZ6 SEZ6L SFTPC SH3GL2 SHANK1 SHC4 SHD SHISA3 SHISA9 SHISAL1 SIGLEC14 SIRPG-AS1 SLC12A3 SLC14A1 SLC1A7 SLC25A48 SLC27A6 SLC30A3 SLC5A7 SLC6A3 SLC7A9 SLITRK5 SNAP25 SNTG2 SOX11 SOX8 SP7 SPANXB1 SPATA31C2 SPIB SPIN2A SPX SSTR2 STAC2 SULT1C4 SULT1E1 SULT2A1 SUSD2 SYCE1 SYNJ2-IT1 SYNPO2 SYT2 SYT4 SYT9 TAC3 TCEAL5 TCF21 TCL1A TDRD9 TEK TEX11 TGM4 THBS4 THPO TKTL1 TLR10 TMEM100 TMEM106C TMEM130 TMEM134 TMEM155 TMEM156 TMEM191A TMEM213 TMOD1 TMSB15A TNN TNNC1 TNNT3 TNR TNXB TREML2 TREML3P TSKS TSPAN8 TSPOAP1-AS1 TSTD1 TTR TUBA3E UBE2QL1 UNC5A VEGFD VRTN VSX1 WIF1 XKR4 XKRX ZBTB16 ZC3H12D ZFHX4-AS1 ZFR2 ZNF536 ZNF560 label
177 89 101 122 1 26 674 8241 919 757 393 42931 796 12917 298275 116 4 114 2 586 276 4694 3272 1 125 287 608 336 898 12434 44 999 15 0 17 45 224 4355 8 5247 5158 6 1 46 190 304 253 2760 1910 1878 4 19 212 0 1151 5 9123 11 63518 0 90 53 27 2 1262 152 7286 1048 227 203 751 4681 342 7 3 619 5 1302 1757 1292 283 29 7 73 16 935 3230 144574 21 51 22980 527 67150 14187 25 1170 12860 3022 279 41 109 13 89897 70 51 1591 0 4074 10 0 82 21 6 20 2781 7483 2621 1962 448 26565 166 112 0 700 170 123 2100 7 168 28 965 368 6217 49432 183 1 1283 444 10585 31 55 29927 141 126 25 0 2595 2 1 2 56671 1946 1217 27 58 16 1 11697 2 16 1 3286 13 2080 1006 6404 12 1632 4033 4237 9630 17 1111 26 40 24598 1200 112 7997 18 18 7 5 181 1840 27 458 11975 466 5 559 85 647 52 19 19181 1 597 28003 3 4318 114 1402 1132 18 35 2 572 21 111 1025 210 18 213 6 1 43 2 69 0 132 27 90 1 4607 28 48 113 229 53 14 272 3 7 488 3 3 24 0 24 436 6 1 0 104 11 588 312 3 778 3847 4037 4511 5 7298 3 21 0 8873 6518 244 11071 11 11 921 0 18884 387 155 7009 1586 5735 310 3 50 237 842 3465 1766 2 6623 75 95 4 101 4 1406 7 7 274 430 0 47 6 62 153 1 403 188 21 211 2 4 0 2401 261 760 3 22505 335 9269 3327 804 97718 608 1 1239 138 2 33 31 312 24 0 1060 3264 5 0 112 31736 85 133 297 896 231 38 277 856 178 24 100 51 1580 619 2102 36887 851 866 638 28925 380 1453 2 2676 287 10002 1926 432 2381 21651 19 41 21 3826288 273 151 62 2 469 1 228 887 1 28 1351 489 5 29 83 21 345 49 160 468 79 58 117 9 0 1 194 10 137 570 92 1458 50 10 128098 5 8 15224 145 11 5 2 9 8575 34 641 18059 7 88 315 86 13 70 13272 4468 1540 3195 149 212 324 66 1170 558 210 8112 25 661 42219 87 40 112 1392 183 4465 10 6 86 67 9269 1 4 24149 59 398 5548 336 0 49 100 12 Normal
187 38 69 66 0 220 46 2092 110 456 194 24317 301 353 72564 116 15 47 0 27 83 3419 2319 2 101 45 9 0 536 6126 36 358 78 3 3 34 136 2527 4 3783 2499 2 0 35 5 154 170 869 835 985 11 1 105 1 464 2 375 10 10232 3 431 8 3 5 696 96 1690 523 725 76 307 260 64 5 2 63 4 418 560 12 42 4 4 6 4 456 202 70940 12 10 1054 7 21609 6824 65 771 6123 1586 816 37 0 8 20565 11 38 862 1 2311 15 0 335 20 1 1 1075 3791 1710 606 42 6438 22 457 0 212 118 57 999 0 66 26 373 0 2630 5575 82 38 741 251 17255 4 41 445 143 193 200 0 4 1 0 0 18743 3117 87 2 20 55 0 7175 3 6 0 1969 4 753 2092 1846 7 621 2712 13507 3333 6 1305 11 4 7875 1198 48 2697 41 5 17 8 40 87 10 178 2304 56 13 4 14 232 38 16 214 10 47 14412 2 1825 147 2449 167 21 3 1 434 59 80 1319 286 28 138 1 0 15 1 4 0 2 10 41 0 1994 14 25 77 144 78 2 263 0 3 200 2 1 60 4 25 618 6 4 0 34 10 157 47 6 1939 2089 719 4487 8 3696 6 1 0 7291 2961 142 4918 6 15 251 0 13622 24 1003 3004 37 133 32 4 175 115 1422 1183 405 2 2797 49 19 8 89 2 231 17 12 14 2377 0 12 5 16 78 0 90 12 3 110 0 4 0 2814 116 348 41 7966 382 4117 1317 496 4893 148 10 326 37 50 11 4 16 3 0 3123 2763 4 0 33 7688 24 234 103 153 234 12 113 367 147 7 40 25 568 455 1480 15608 174 198 190 25039 392 1841 1 673 154 7018 1942 152 943 577 1 17 13 677160 180 136 80 0 395 15 110 890 9 9 63 282 0 100 18 57 25 26 115 136 32 18 47 18 0 0 298 6 65 386 9 806 114 0 26934 0 0 2633 352 2 22 3 5 3009 117 274 2363 5 22 481 25 9 221 282 2345 1983 1399 279 126 76 225 540 61 144 3428 113 29 12491 36 33 6 1499 87 1472 2 0 19 1547 3522 1 0 5418 52 52 580 222 0 25 28 3 Normal
326 688 118 292 1 16 233 1189 106 76 1091 17937 1685 329 47362 259 105 66 11 34 223 567 2612 3 18 348 28 6 198 4608 109 852 25 5 15 167 65 2581 1 3866 1437 3 0 513 30 219 4051 1261 824 476 127 1 58 21 947 1 1324 32 10986 16 23 23 10 5 398 63 970 7393 328 39 5758 690 264 4 5 222 6 1507 434 73 20 10 43 64 5 485 687 21437 1 1 3893 1757 12590 5837 1791 427 4330 399 23256 141 0 13 15034 47 41 801 0 1852 3 0 236 34 3 42 994 3420 1132 391 18 6363 43 62 1 331 142 86 664 5 203 45 352 1 14939 3994 266 72 760 187 5683 3 4615 6724 4711 3595 7404 0 1 3 0 0 12616 827 19 7 168 9 0 5889 11 8 0 934 3 1845 1298 1877 6 1417 5352 2918 1212 20 314 143 26 7221 363 117 2038 11 2 18 16 11 288 12 605 4079 92 129 92 3 81 62 294 503 20 124 4802 3 4925 61 873 332 71 8 2 482 803 68 936 221 42 761 4 0 7 0 5 0 41 10 862 0 1002 632 19 75 34 1099 6 215 1 0 82 4 0 21 1 60 84 39 0 0 5 27 119 99 4 6045 1371 969 2721 21 3778 10 3 0 1485 2153 258 12173 4 8 164 1 20761 29 26943 2200 59 94 36 5 105 154 310 605 440 0 2427 145 10 6 4914 20 425 19 155 7 21 2 112 8 20 85 0 237 210 5 183 0 2 1 688 76 107 5 5809 66 4186 1615 544 59922 740 1 1036 932 0 35 15 200 366 1 150 8364 29 0 31 7192 74 34 487 154 171 27 90 1128 123 20 15 14 802 531 1295 3597 182 171 263 10497 3170 1929 0 1444 125 2238 659 81 265 1743 2 13 26 792450 80 30 39 111 531 3 146 0 46 243 1127 161 0 104 48 95 8 15 53 147 20 19 308 6 0 1 4179 5 103 242 34 342 20 1 15642 11 0 3492 71 7 20 1 7 1689 4151 75 2893 4 6 477 22 57 5610 4517 2442 549 1522 30 1097 203 1222 405 52 41 1436 125 472 4452 898 17 37 851 463 1987 4 4 68 68 1701 72 1 4880 136 183 821 1721 1 30 13 6 Normal
56 9 36 39 0 7 109 4978 351 323 126 25889 177 2651 202357 221 0 50 0 31 71 20570 1644 1 6 11 76 3 213 4910 13 413 11 1 6 40 31 1613 1 2730 2766 3 1 204 93 52 21 619 935 552 0 2 27 0 855 1 3272 1 15940 0 24 47 4 31 169 232 2360 63 63 66 221 913 280 1 0 24 9 967 364 310 259 9 1 11 0 357 675 78711 2 10 7723 23 35247 4935 7 1438 1537 1695 6 6 0 3 49155 26 146 542 0 1774 3 0 55 15 0 3 1142 2322 543 805 139 15586 38 10 0 267 41 48 131 0 87 6 285 0 5856 11128 33 0 529 124 4219 1 5 18866 136 112 0 0 2 2 0 3 23226 1093 138 4 46 9 0 3391 0 91 0 1791 5 480 5624 4681 2 1592 3447 6294 4854 10 2611 20 45 9106 458 49 2865 0 0 1 15 105 68 21 181 6920 191 0 120 31 319 19 1 5395 1 293 17476 1 943 7386 4371 281 7 7 2 207 5 105 447 60 34 23 2 0 35 0 3 0 1 0 31 0 1448 2 5 58 75 23 3 123 11 0 342 3 0 12 0 4 40 9 0 0 4 10 150 828 0 493 2026 3340 3241 7 2535 3 4 0 5976 2328 292 9437 4 2 92 0 22759 14 23 6746 211 1836 16 2 4 234 177 2083 206 0 2238 84 3 2 43 1 465 1 3 2 28 0 90 1 32 78 0 245 94 1 51 0 0 0 857 68 237 13 26668 114 3673 1209 396 46067 522 1 647 550 212 2 5 260 0 1 4284 1283 11 0 318 15556 34 80 103 107 79 16 932 214 25 10 34 3 288 170 707 10350 101 505 636 19507 225 458 2 1269 64 5877 2891 43 1318 5114 0 33 9 1559195 184 9 49 6 199 1 25 725 1 5 1662 210 3 270 18 8 9 4 88 8 28 0 25 0 1 0 23 2 135 65 17 672 18 2 58520 11 0 2167 19 134 13 3 4 4133 18 153 5929 0 8 96 19 29 19 12829 1112 408 1368 19 27 136 161 944 135 55 8616 39 627 10531 68 30 21 778 58 1709 3 1 8 10 2925 0 3 8050 14 159 2638 75 0 14 24 3 Normal
125 44 58 85 1 5 206 8034 662 148 372 46782 255 3326 252155 254 3 53 8 76 107 12002 1913 0 53 105 109 16 706 8709 35 719 28 0 4 104 56 2856 15 4360 4503 18 0 74 112 171 73 708 1900 1192 1 3 138 1 664 5 5423 38 44302 0 9 17 11 4 327 99 3977 216 161 174 520 3805 466 10 0 292 1 518 719 485 465 38 3 13 13 696 969 111003 5 9 10430 233 47153 8520 25 1868 5463 5609 34 11 1 4 43198 79 137 1146 2 2794 18 0 163 10 5 45 2063 5243 812 713 91 19719 67 72 2 404 204 90 707 0 105 10 845 5 15503 49574 42 1 1037 280 11985 7 28 25060 179 249 2 0 8 2 0 0 42759 2358 1075 12 97 11 0 6563 0 2 0 3318 14 2103 5847 4976 1 3136 9615 8619 6729 16 3284 11 115 12469 1238 231 11622 3 8 2 7 540 420 10 174 10227 215 8 389 5 382 13 11 15715 4 437 29342 6 2995 124 3944 493 17 26 3 499 11 176 737 154 189 44 2 0 20 35 4 0 4 7 94 2 2059 14 25 119 161 46 2 221 8 3 360 5 0 85 0 24 31 4 1 0 0 11 122 753 0 811 2827 4659 5300 11 4402 7 1 0 8375 4478 488 17944 3 5 658 0 53815 73 95 7777 319 4296 79 5 12 1215 497 2124 757 0 3962 108 11 24 47 2 857 3 17 11 45 9 105 22 56 151 1 640 65 5 218 0 0 3 977 212 523 10 23700 352 6735 2226 824 78995 2690 2 890 832 0 24 7 1439 2 0 2441 3572 27 0 335 23350 17 126 213 146 205 29 413 914 122 31 82 285 679 288 1512 18490 690 704 895 15955 559 1132 1 7923 165 10871 6302 206 1675 8972 1 65 62 2639760 415 37 50 8 398 10 342 1784 3 13 1615 423 2 506 49 30 45 14 19 125 45 5 33 1 0 0 83 0 194 152 40 613 48 0 86967 22 0 7074 61 11 17 3 22 4712 23 272 9607 6 18 470 46 123 40 14340 3314 594 1755 12 70 195 820 1734 187 391 6904 78 1414 37608 358 53 42 2222 167 2301 3 1 35 25 4384 0 3 16317 39 148 9723 174 0 24 116 3 Normal
90 52 76 81 0 6 249 2245 220 26 286 15024 278 1831 142651 283 4 15 4 33 134 18096 2038 2 67 36 46 7 257 5236 47 272 136 0 3 9 115 2392 8 4090 1252 4 0 33 126 156 36 591 824 426 24 2 39 0 898 5 1782 25 10878 1 9 10 6 2 24 126 1970 251 85 65 248 467 174 1 0 135 10 831 237 464 136 2 3 8 0 444 745 45101 5 17 4493 370 32653 6257 23 899 2067 1677 21 11 0 3 24650 20 30 798 2 2098 108 0 584 33 2 91 1322 5560 420 527 14 11288 43 7 0 150 99 29 239 0 112 3 297 0 9895 5520 79 1 678 335 3571 5 23 13700 148 152 6 0 0 0 1 0 20633 1337 298 5 32 25 0 4227 4 1 2 908 3 573 3076 3063 5 1241 2881 375 3984 12 1207 17 38 7798 118 77 1902 5 11 25 23 113 155 4 141 2925 273 0 236 0 432 10 1 5087 14 309 10593 7 2508 77 2042 330 19 8 14 423 33 103 1446 97 45 22 2 0 33 3 5 0 0 7 134 2 1570 5 49 72 51 56 3 176 4 1 227 9 0 113 1 19 41 16 2 0 1 3 159 292 6 701 2323 1866 1107 6 2549 2 6 0 3025 2639 266 9645 1 3 202 4 28935 34 91 6197 86 389 29 1 22 110 200 2041 297 0 2378 117 25 4 64 0 401 0 1 12 29 5 30 10 50 50 0 173 81 11 72 1 8 2 1010 85 112 7 5519 165 4250 1582 541 7090 256 0 526 11 1 23 1 2613 0 0 903 2705 7 0 44 10302 35 53 130 50 167 6 470 255 51 9 54 11 519 217 1221 9037 165 316 164 25209 402 838 0 629 56 3636 2169 67 1260 6149 0 23 117 1051549 259 7 39 5 523 24 81 800 3 10 1610 56 0 173 28 57 39 9 79 121 12 2 17 5 0 0 98 12 180 25 10 401 42 1 26561 3 1 3170 29 12 29 4 9 2844 86 201 6343 1 6 162 29 27 90 11725 1785 442 1338 21 85 97 34 553 79 43 4771 93 1352 4878 67 29 6 1221 93 2069 0 6 10 11 2924 0 1 9486 41 184 478 92 0 48 21 9 Normal
98 25 62 54 0 3 84 3356 171 158 345 34644 403 1810 273135 276 1 50 2 65 121 9051 2520 1 36 71 115 0 555 7309 36 287 175 1 3 27 58 2715 7 5360 2150 10 0 21 130 106 24 948 865 629 54 2 51 0 1903 5 1993 16 23556 0 19 8 4 28 190 176 2017 201 177 77 247 946 238 5 1 27 3 4007 291 587 185 13 5 10 5 499 748 97777 5 7 7201 465 39495 7490 27 1822 1185 2178 26 5 1 11 44290 44 87 859 0 2989 2 0 693 36 2 7 1813 5609 393 1167 88 9257 37 21 3 176 165 84 133 2 83 19 726 0 13857 10456 66 0 755 293 3265 10 20 14453 153 132 5 1 0 0 0 0 24557 1834 160 12 33 24 0 3825 0 2 0 2146 6 691 4815 4838 25 1294 5470 2519 6786 10 2077 16 19 10880 828 391 11628 4 3 57 14 28 170 52 933 9378 291 0 313 2 316 21 5 921 5 165 17524 6 1566 188 4770 533 16 11 1 377 58 158 1253 44 31 27 0 0 28 3 2 0 2 5 31 0 2210 5 22 114 58 18 0 190 3 1 382 3 1 39 0 20 50 3 2 0 44 7 118 485 6 587 3903 2020 2465 11 3433 2 2 0 5305 3939 288 12740 3 9 243 2 31790 6 49 12783 61 492 23 10 23 170 173 1667 218 0 3561 57 3 12 27 1 557 0 2 7 26 2 52 7 71 94 1 595 109 3 64 0 22 2 525 63 130 4 14192 273 5658 2291 573 49321 406 1 393 170 0 30 8 1568 0 0 1004 1596 10 1 553 12595 29 59 85 99 349 23 596 206 42 4 44 15 277 167 1175 6088 197 483 457 26576 356 529 5 963 85 4354 3340 946 1983 10187 0 25 17 2804665 380 9 67 2 399 32 29 1010 3 8 1645 231 0 244 35 62 39 15 73 56 6 0 30 1 0 1 68 4 165 24 21 594 62 1 69296 9 2 2390 27 10 24 3 14 4125 22 42 6479 2 8 120 21 16 77 12572 2759 828 1997 27 57 225 175 780 226 85 9637 111 794 5291 77 30 26 1367 106 4037 4 1 16 11 4076 0 1 18224 18 117 1906 113 0 25 45 3 Normal
57 29 79 53 0 20 109 3283 150 300 119 29432 326 919 114059 342 0 91 7 53 55 599 2317 0 9 40 45 2 125 4766 21 412 25 1 3 40 95 2281 13 2991 2054 22 0 13 60 87 22 1083 611 833 2 5 69 1 965 4 3722 15 26818 0 29 4 4 33 70 137 3521 212 35 42 178 925 292 3 0 74 3 767 439 343 82 19 4 10 2 455 772 55639 5 0 8133 12 32057 5460 5 1135 3779 1575 15 20 0 3 30143 68 26 721 0 2208 0 0 156 13 0 14 1018 3279 496 792 231 8722 19 170 4 247 147 23 267 0 120 9 1037 0 10167 9050 43 0 775 195 5457 6 66 8026 236 140 0 2 1 0 0 0 24828 1389 80 12 23 12 0 4153 0 15 3 1941 6 693 1197 2649 8 1788 3547 4157 3751 4 2209 5 52 7550 1516 17 1288 8 0 12 8 76 141 8 468 11271 96 2 29 1 144 13 9 1252 3 86 11450 1 1394 146 1962 339 6 11 2 458 20 200 1008 79 113 47 2 0 21 0 4 0 6 1 30 0 1875 5 6 53 106 24 4 201 19 1 147 6 0 124 0 23 60 8 1 0 2 5 91 107 1 555 3569 456 5955 24 3026 4 6 0 4934 2702 157 8347 5 12 365 1 27204 1 65 10671 117 219 62 3 34 155 272 1065 370 0 2329 125 3 12 62 1 329 1 7 13 43 0 61 35 15 50 0 361 37 1 81 0 1 0 935 111 188 2 6809 60 4464 1343 615 26849 871 0 656 816 1 10 4 1050 9 0 811 1852 3 0 79 12924 8 36 72 138 351 17 11 343 71 6 33 10 325 184 1267 7680 385 295 301 20618 382 969 0 2611 198 8209 2600 235 989 2901 1 11 30 2314668 177 15 53 5 501 3 98 1 0 8 464 177 0 51 33 146 50 23 21 148 71 0 26 1 0 0 59 2 125 86 35 658 8 0 49742 0 0 4182 53 14 12 1 15 4075 50 145 7601 1 16 113 19 30 61 6683 1901 376 1369 16 60 164 123 769 53 70 3767 83 64 12845 69 26 90 736 88 2172 1 0 22 22 2908 0 1 5456 9 71 580 137 0 20 76 6 Normal
107 16 48 33 0 1 78 2407 144 97 117 9694 452 1066 122307 184 0 20 4 32 48 3156 1774 3 11 116 51 13 80 4013 24 123 192 1 1 30 70 1532 2 2722 1138 73 0 23 119 67 16 433 607 269 304 2 6 0 87 24 2941 9 6777 0 10 5 3 3 29 134 1406 307 58 46 174 938 318 4 0 47 1 261 225 191 78 1 1 8 6 343 319 29584 3 9 4095 51 19745 4531 5 800 1618 463 6 8 0 2 34727 21 28 498 2 1249 37 0 1043 23 2 16 1002 3859 274 572 10 5899 20 16 1 138 87 34 80 0 49 16 130 4 5637 7771 70 0 459 175 3311 3 5 8543 138 91 131 0 11 0 1 0 16074 982 232 1 39 7 0 1758 0 3 0 1187 8 185 1572 2247 30 2168 4238 1577 1632 10 915 5 2 6665 241 32 2415 0 0 119 6 28 87 1 1035 2080 126 3 149 7 290 63 27 3301 7 106 9105 9 1046 105 1326 324 8 32 1 172 43 39 936 27 21 9 2 0 15 2 1 0 13 1 83 0 698 12 15 37 31 28 2 179 2 0 150 11 0 37 0 11 29 1 1 0 9 7 99 234 5 421 814 1251 2418 1 1848 2 2 0 2251 1611 208 10823 0 5 108 0 24990 76 26 2138 161 1029 9 13 3 95 82 845 136 0 1790 113 19 5 49 3 423 5 1 8 42 4 39 4 12 46 0 195 148 2 31 0 5 0 308 43 69 10 26960 144 2994 1185 437 34680 153 0 376 263 49 79 1 118 0 0 268 893 8 0 110 6575 70 23 80 71 143 11 240 189 41 6 29 27 229 94 672 3668 154 287 220 11832 187 353 0 552 78 2250 1230 512 674 3168 11 23 48 433901 218 17 28 7 120 8 43 1226 0 15 438 82 0 106 12 27 3 9 74 101 4 2 20 2 0 0 66 3 67 22 10 517 35 0 24125 0 0 956 15 12 17 0 2 2817 72 37 2981 0 3 145 17 12 13 9452 1150 654 1175 15 34 113 179 316 20 51 3169 256 880 6247 47 16 50 1699 35 1651 1 0 10 22 2313 0 0 3188 65 117 829 106 0 82 9 3 Normal
316 39 29 58 0 9 53 5510 200 483 575 44179 416 467 135014 218 1 17 4 51 40 10665 1758 0 96 96 22 1 1340 7117 26 532 1 1 3 43 141 2366 0 3642 1774 1 0 48 106 183 29 1746 1471 1141 2 9 175 0 2807 2 2680 10 23974 0 126 13 4 55 695 99 2608 259 1474 69 173 362 181 3 0 190 0 379 734 42 569 14 6 32 2 516 314 60207 4 36 3847 61 16812 7422 10 923 7749 4722 14 8 0 0 46357 14 47 796 0 2118 0 0 22 28 2 2 1161 3538 1354 417 96 14289 12 156 2 826 213 50 1349 1 34 63 692 0 4353 12709 26 2 707 227 21975 0 24 1217 74 37 0 0 33 0 0 3 26510 2309 52 0 78 89 0 9736 1 1 2 2274 1 2271 3443 3986 2 1228 5328 15523 2830 2 2781 6 115 10146 304 80 4941 9 12 0 0 6 350 3 23 3580 67 7 2 13 292 28 1 6275 8 276 26980 0 2284 67 1452 389 19 5 2 354 16 111 543 128 42 196 3 0 30 3 1 0 9 17 141 0 2215 3 119 129 110 29 0 211 10 3 396 2 1 58 1 22 293 3 4 0 115 17 112 172 0 1203 1148 2425 9702 12 3081 8 4 0 10041 3580 614 8567 0 1 346 0 46364 8 47 3402 641 787 52 2 69 59 2833 1321 327 0 2917 116 18 10 35 0 335 17 0 2 862 0 7 12 23 56 0 308 34 2 90 0 0 0 1784 236 670 7 9089 266 5258 1538 437 13729 94 12 598 243 0 2 7 120 11 1 40169 3616 13 0 98 20000 32 119 85 417 92 9 121 629 200 1 43 16 461 543 1378 32265 243 279 565 15677 294 2143 0 759 662 8927 4465 93 1848 1000 0 28 23 1815346 257 85 23 7 625 1 106 893 1 16 82 386 3 491 28 28 55 2 41 145 35 7 31 2 0 0 71 13 99 131 22 1340 37 0 60759 4 0 4741 90 9 15 1 11 7131 76 223 5825 0 14 118 33 18 39 701 3858 5218 1308 79 22 119 2271 1090 57 136 3995 8 30 30583 94 17 55 1573 89 1484 3 0 24 221 4847 0 2 16181 112 62 3917 88 2 16 48 19 Normal
