baseMean log2FoldChange lfcSE stat pvalue padj
ABCA4 1211.97666051758 -2.3585158219499 0.373842950062074 -6.30884124351759 2.81132304620145e-10 2.31569720546372e-07
ABCB4 45.8334378863425 -0.686237665906815 0.173982840473101 -3.94428360889367 8.00388895887331e-05 0.00529781221563519
ABCC2 376.523196458792 -1.63595056580828 0.330091207580002 -4.95605616945063 7.19384271861916e-07 0.000145446420056446
ACSL6 93.6245422693483 -1.04925235878593 0.246004285726677 -4.26517918452732 1.99741833900036e-05 0.00197952517988438
ACTL8 37.0768621527406 -1.62245002268608 0.415955087597917 -3.90054135905754 9.59778270660015e-05 0.0061149112526334
ADAMTS18 90.3725735669082 -1.86469166260704 0.317430304870248 -5.87433409475271 4.24546406834176e-09 2.22979406350855e-06
ADAMTS6 92.1262053694314 -0.602530912913348 0.159262807690075 -3.78324934523238 0.000154794203349713 0.00846386655331974
ADAMTS8 356.935775105932 -2.12530547371992 0.354867453047267 -5.98901210992949 2.11119445582314e-09 1.26899904587856e-06
ADAMTS9-AS1 43.2445975434039 -1.13116611149939 0.299314557215864 -3.77918842979494 0.000157340330273714 0.00851061290474051
ADCYAP1R1 69.5446843055809 -1.07892268177326 0.264307421008871 -4.08207487196149 4.46354112179374e-05 0.00352018278541464
ADGRG2 131.635946763649 -1.26252411181503 0.238596450222205 -5.29146226039506 1.21342232251024e-07 3.37331405657846e-05
ADH1B 2668.57483404792 -2.6735856009355 0.395901589593821 -6.7531570249023 1.44662226106135e-11 3.47108828888502e-08
ADRA2A 278.235116903037 -0.883228002314089 0.230692217477579 -3.82859903975707 0.000128874768915309 0.00748348527591767
ADRB1 248.535899017754 -1.23978992234083 0.288923177201601 -4.2910711918267 1.77813293010724e-05 0.00185660452420587
AGER 8273.98352519271 -3.09076459353294 0.388834000205554 -7.94880229583583 1.88323315547474e-15 1.39610351259194e-11
AGRP 25.1300981763281 -1.71058050179414 0.335740542722668 -5.09494768764681 3.48837565685916e-07 8.25334836261146e-05
AIRE 11.0331682076852 -1.29506477583647 0.335929720832217 -3.85516581452851 0.000115651215226676 0.0069704147063449
ALDH8A1 55.3525896630535 -0.930844895486941 0.243738166002556 -3.8190362664712 0.000133974066914647 0.00768836137397062
ALX4 33.0355931449688 -1.90061593934868 0.38125633327065 -4.98513932357276 6.19171799117184e-07 0.000129909252946851
AMBP 27.2500590473767 -1.40501197317353 0.31871520403521 -4.40836193374167 1.04155384212126e-05 0.0012321360345094
ANK1 151.390822689876 -0.895691799594041 0.232692771085568 -3.84924634923304 0.0001184818030638 0.00706443780198102
ANKRD1 302.226053109233 -2.48199127829386 0.379631991231578 -6.53788757433731 6.23937962587034e-11 6.03320882084158e-08
ANKRD13D 2355.61864584179 0.383144340159372 0.0984325938991905 3.89245396247272 9.92353349159322e-05 0.00626986888787026
ANKRD20A8P 3.92739884056765 -1.74875703216484 0.457788002635089 -3.82001498968685 0.000133443564060591 0.00768836137397062
ANO4 35.456021296327 -1.05654560724352 0.281660306543875 -3.75113419497377 0.000176036444581455 0.00906261696178603
AOC1 208.714627134257 -1.20513286161496 0.280344218290164 -4.29876124774444 1.71755367632041e-05 0.00182767434264908
APOA1 21.4048639593388 -1.13322922537373 0.29937568398577 -3.78530817963023 0.0001535182120079 0.00846386655331974
APOA2 12.4309369514736 -2.21681348866317 0.473604746774464 -4.68072481063802 2.85862446164903e-06 0.000428443786481629
APOH 52.9843705600896 -2.32895927029628 0.465205031887825 -5.0063071348245 5.54842008379154e-07 0.000120977316336788
ARF5 8980.56431912285 0.334631647347444 0.0890996360839428 3.7557016173689 0.000172856539549792 0.00898207812987702
ARRDC5 15.3251438132744 -0.76448524922115 0.202169554452501 -3.78140641053231 0.000155944848710418 0.00846386655331974
ART4 60.8760687115726 -1.16963757906933 0.313792749474536 -3.72742066548048 0.000193449425847953 0.00962623949905404
ARX 31.4752140689668 -1.34810833936798 0.340499929433316 -3.95920299194068 7.52003005044085e-05 0.00505273318192763
ASCL4 16.419704167511 -2.26684353284899 0.466190214179725 -4.86248630687704 1.15920400330502e-06 0.000213063611847138
ASIP 9.61218646162304 0.848492096727008 0.188641654699484 4.49790423053011 6.86265958942921e-06 0.000892139515541433
ASTN1 90.9207489069398 -1.6481008308314 0.372663505260234 -4.42249055130988 9.75696175403666e-06 0.00117931972505313
ASXL3 58.4634932072439 -1.28308448783741 0.278761598124171 -4.60280216669543 4.16844147998855e-06 0.000583057474936763
ATG5 2790.15494260809 0.332481826393084 0.0842710810955607 3.94538460965108 7.96719924944677e-05 0.00528926899425958
ATP2B3 10.8395730293032 -1.50950999278006 0.362931941458743 -4.15920953860616 3.19350838528929e-05 0.00273167794187822
ATP5MF 6262.4883892581 0.469825459531833 0.116317962041995 4.03914796377028 5.36457174466309e-05 0.00403067822977389
AXIN2 679.427304786214 -0.741930495385571 0.192377247445357 -3.85664367921841 0.000114954540916515 0.00695072123757689
B3GNT6 32.4187462226629 -1.44173110619891 0.383840783276833 -3.75606545477244 0.00017260556776926 0.00898207812987702
BARHL2 1.70051436149901 -2.44057731482138 0.648329954733398 -3.76440622094189 0.000166945305018001 0.00882668988105536
BEND4 51.6900855275278 -1.24018038496201 0.317173723338535 -3.91009813772721 9.22586303733836e-05 0.00598201731633834
BEX1 126.721748849899 -1.58738563694487 0.365701313243662 -4.34066157122936 1.42054370005723e-05 0.00158758250699863
BHMT2 84.6399428489386 -1.44620943999934 0.26269231072181 -5.50533601849834 3.6846479364044e-08 1.30073920802594e-05
BLK 136.916927252424 -1.12349927861933 0.269524910008997 -4.16844320097101 3.06687161771261e-05 0.002692110222565
BMP4 517.261501282131 -0.835278240364522 0.222797411678321 -3.74904822310284 0.000177506954359519 0.0091172163162949
BMPER 222.959619565464 -1.44213596643309 0.280536770312982 -5.14063081578992 2.73817604801225e-07 6.84236351772948e-05
BNC2 492.379741401159 -0.853651930089601 0.202720362860734 -4.21098264645494 2.54262279757637e-05 0.00236602221833048
BPIFB2 81.6438615082581 -2.07026740476497 0.548002174029285 -3.77784524018026 0.000158191126427184 0.00851061290474051
BRINP2 11.8567007885672 -2.47712018650091 0.449881304853785 -5.50616386983672 3.66737177978489e-08 1.30073920802594e-05
BRINP3 33.4419184261763 -1.28066171748725 0.318341601286386 -4.02291661633989 5.74818513059829e-05 0.00424716403005003
C12orf77 3.28991429806388 -1.98586982472156 0.50262664686609 -3.95098397011696 7.78305379382749e-05 0.00519805154278449
C8B 64.490243743423 -2.15448331782159 0.473043198177234 -4.55451706339593 5.25060629322996e-06 0.000707718084614754
CA10 12.0969221852744 -1.68850374887839 0.446544682156592 -3.78126493573665 0.000156033511099869 0.00846386655331974
CA4 223.254058448386 -2.00376670374633 0.398512991888784 -5.0281088559982 4.95340672634356e-07 0.000112412005708042
CACNA1E 43.1481858583435 -0.949198125231722 0.245092602516734 -3.87281425667229 0.000107585819953397 0.00664641287712097
